,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
116877,ESP,Europe,Spain,2020-01-18,,,,,,,,,,,,,,,,,,,,1.0,0.021,,,,,,,,,,,,,,,,,,,,,,,0.0,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
110978,SGP,Asia,Singapore,2020-01-24,3.0,2.0,,,,,0.55,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,5453600.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,,,,
40765,OWID_EUR,,Europe,2020-01-25,3.0,1.0,,,0.0,,0.004,0.001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748962983.0,,,,,,,,,,,,,,,,,,
4872,ARG,South America,Argentina,2020-01-28,,,,,,,,,,,,,,,,,,,,,,2.0,514.0,0.011,0.0,4.0,0.0,0.152,6.6,tests performed,,,,,,,,,,,,,,11.11,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
21979,CAN,North America,Canada,2020-01-28,2.0,1.0,,,,,0.053,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
131608,OWID_UMC,,Upper middle income,2020-01-28,5519.0,2638.0,709.571,131.0,49.0,16.286,2.196,1.049,0.282,0.052,0.019,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513672790.0,,,,,,,,,,,,,,,,,,
56827,IND,Asia,India,2020-02-05,3.0,0.0,0.429,,,0.0,0.002,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
6472,OWID_ASI,,Asia,2020-02-07,34267.0,3528.0,3482.571,719.0,85.0,72.286,7.324,0.754,0.744,0.154,0.018,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4678444992.0,,,,,,,,,,,,,,,,,,
25568,CHN,Asia,China,2020-02-08,36788.0,2703.0,3558.571,804.0,87.0,77.857,25.473,1.872,2.464,0.557,0.06,0.054,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
7161,AUS,Oceania,Australia,2020-02-13,15.0,0.0,0.143,,,0.0,0.582,0.0,0.006,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944,,,,
